iter	MultiClass
257	-0.7472273761
258	-0.7468420343
259	-0.7468396252
260	-0.7467464851
261	-0.7465108403
262	-0.7462334435
263	-0.7460642683
264	-0.7459737634
265	-0.7457582689
266	-0.7456857558
267	-0.7455006899
268	-0.7452709002
269	-0.7445497134
270	-0.744420622
271	-0.7444036663
272	-0.744235409
273	-0.7440145823
274	-0.7439961785
275	-0.7434989701
276	-0.7432689136
277	-0.7431118472
278	-0.7428954586
279	-0.7427779488
280	-0.742557903
281	-0.7425528386
282	-0.7424280968
283	-0.7421812764
284	-0.742133992
285	-0.7418690018
286	-0.7417006263
287	-0.7415499137
288	-0.741547952
289	-0.7414508945
290	-0.7411959082
291	-0.7410403934
292	-0.7410164873
293	-0.740840626
294	-0.7405447832
295	-0.7403478926
296	-0.7402145873
297	-0.740168611
298	-0.7400321361
299	-0.7400303221
300	-0.739726043
301	-0.7395299956
302	-0.7392648459
303	-0.7386865857
304	-0.7384046763
305	-0.7383022508
306	-0.7378576442
307	-0.737834396
308	-0.737596262
309	-0.7375220808
310	-0.7372619996
311	-0.7369950359
312	-0.7369930156
313	-0.7367297503
314	-0.7363330801
315	-0.7360415393
316	-0.7359006109
317	-0.7357032501
318	-0.7356922755
319	-0.735661206
320	-0.7350999043
321	-0.7349958575
322	-0.7349210914
323	-0.734816689
324	-0.7346580161
